timestamp,source_ip,destination_ip,user,host,protocol,action,severity,log_source,event_type,destination_port,bytes_transferred,failed_attempts,label
2026-01-01T00:21:00Z,192.0.2.22,198.51.100.28,demo-user-10,demo-host-22,tcp,allowed,informational,synthetic,authentication_success,80,2231,0,benign
2026-01-01T00:22:00Z,192.0.2.23,198.51.100.35,demo-user-11,demo-host-23,tcp,allowed,low,synthetic,authentication_success,123,4465,0,benign
2026-01-01T00:23:00Z,192.0.2.24,198.51.100.2,demo-user-12,demo-host-24,tcp,allowed,low,synthetic,network_connection,80,43082,0,benign
2026-01-01T00:24:00Z,192.0.2.25,198.51.100.9,demo-user-01,demo-host-25,tcp,allowed,low,synthetic,authentication_success,443,9491,0,benign
2026-01-01T00:25:00Z,192.0.2.26,198.51.100.16,demo-user-02,demo-host-26,tcp,allowed,informational,synthetic,authentication_success,80,48951,0,benign
2026-01-01T00:26:00Z,192.0.2.27,198.51.100.23,demo-user-03,demo-host-27,tcp,allowed,low,synthetic,authentication_success,443,23851,0,benign
2026-01-01T00:27:00Z,192.0.2.28,198.51.100.30,demo-user-04,demo-host-28,tcp,blocked,critical,synthetic,port_scan,80,9193,0,attack
2026-01-01T00:28:00Z,192.0.2.29,198.51.100.37,demo-user-05,demo-host-29,udp,allowed,informational,synthetic,authentication_success,53,7313,0,benign
2026-01-01T00:29:00Z,192.0.2.30,198.51.100.4,demo-user-06,demo-host-30,tcp,allowed,informational,synthetic,network_connection,443,39214,0,benign
2026-01-01T00:30:00Z,192.0.2.31,198.51.100.11,demo-user-07,demo-host-31,tcp,denied,high,synthetic,authentication_failure,22,25344,6,attack
2026-01-01T00:31:00Z,192.0.2.32,198.51.100.18,demo-user-08,demo-host-32,tcp,allowed,low,synthetic,authentication_success,123,36384,0,benign
2026-01-01T00:32:00Z,192.0.2.33,198.51.100.25,demo-user-09,demo-host-33,tcp,allowed,informational,synthetic,network_connection,123,42134,0,benign
2026-01-01T00:33:00Z,192.0.2.34,198.51.100.32,demo-user-10,demo-host-34,tcp,allowed,informational,synthetic,authentication_success,123,28620,0,benign
2026-01-01T00:34:00Z,192.0.2.35,198.51.100.39,demo-user-11,demo-host-35,udp,allowed,low,synthetic,network_connection,53,47451,0,benign
2026-01-01T00:35:00Z,192.0.2.36,198.51.100.6,demo-user-12,demo-host-36,udp,allowed,informational,synthetic,authentication_success,53,41107,0,benign
2026-01-01T00:36:00Z,192.0.2.37,198.51.100.13,demo-user-01,demo-host-37,tcp,allowed,informational,synthetic,authentication_success,80,24632,0,benign
2026-01-01T00:37:00Z,192.0.2.38,198.51.100.20,demo-user-02,demo-host-38,tcp,blocked,critical,synthetic,port_scan,80,35476,0,attack
2026-01-01T00:38:00Z,192.0.2.39,198.51.100.27,demo-user-03,demo-host-39,tcp,allowed,low,synthetic,network_connection,443,1404,0,benign
2026-01-01T00:39:00Z,192.0.2.40,198.51.100.34,demo-user-04,demo-host-40,tcp,allowed,low,synthetic,network_connection,123,15820,0,benign
2026-01-01T00:40:00Z,192.0.2.1,198.51.100.1,demo-user-05,demo-host-01,tcp,denied,high,synthetic,authentication_failure,22,15913,5,attack
2026-01-01T00:41:00Z,192.0.2.2,198.51.100.8,demo-user-06,demo-host-02,tcp,allowed,informational,synthetic,network_connection,443,4663,0,benign
2026-01-01T00:42:00Z,192.0.2.3,198.51.100.15,demo-user-07,demo-host-03,tcp,allowed,informational,synthetic,network_connection,443,36159,0,benign
2026-01-01T00:43:00Z,192.0.2.4,198.51.100.22,demo-user-08,demo-host-04,tcp,allowed,low,synthetic,network_connection,443,14008,0,benign
2026-01-01T00:44:00Z,192.0.2.5,198.51.100.29,demo-user-09,demo-host-05,tcp,allowed,low,synthetic,network_connection,443,44147,0,benign
2026-01-01T00:45:00Z,192.0.2.6,198.51.100.36,demo-user-10,demo-host-06,tcp,allowed,low,synthetic,authentication_success,443,8058,0,benign
2026-01-01T00:46:00Z,192.0.2.7,198.51.100.3,demo-user-11,demo-host-07,udp,allowed,informational,synthetic,network_connection,53,22284,0,benign
2026-01-01T00:47:00Z,192.0.2.8,198.51.100.10,demo-user-12,demo-host-08,tcp,blocked,critical,synthetic,port_scan,22,38683,0,attack
2026-01-01T00:48:00Z,192.0.2.9,198.51.100.17,demo-user-01,demo-host-09,udp,allowed,informational,synthetic,network_connection,53,4780,0,benign
2026-01-01T00:49:00Z,192.0.2.10,198.51.100.24,demo-user-02,demo-host-10,udp,allowed,informational,synthetic,network_connection,53,2186,0,benign
2026-01-01T00:50:00Z,192.0.2.11,198.51.100.31,demo-user-03,demo-host-11,tcp,denied,high,synthetic,authentication_failure,22,4771,10,attack
2026-01-01T00:51:00Z,192.0.2.12,198.51.100.38,demo-user-04,demo-host-12,tcp,allowed,low,synthetic,network_connection,443,14168,0,benign
2026-01-01T00:52:00Z,192.0.2.13,198.51.100.5,demo-user-05,demo-host-13,tcp,allowed,low,synthetic,network_connection,80,31124,0,benign
2026-01-01T00:53:00Z,192.0.2.14,198.51.100.12,demo-user-06,demo-host-14,udp,allowed,informational,synthetic,authentication_success,53,6480,0,benign
2026-01-01T00:54:00Z,192.0.2.15,198.51.100.19,demo-user-07,demo-host-15,tcp,allowed,low,synthetic,authentication_success,443,27069,0,benign
2026-01-01T00:55:00Z,192.0.2.16,198.51.100.26,demo-user-08,demo-host-16,udp,allowed,informational,synthetic,authentication_success,53,4100,0,benign
2026-01-01T00:56:00Z,192.0.2.17,198.51.100.33,demo-user-09,demo-host-17,udp,allowed,low,synthetic,authentication_success,53,16423,0,benign
2026-01-01T00:57:00Z,192.0.2.18,198.51.100.40,demo-user-10,demo-host-18,tcp,blocked,critical,synthetic,port_scan,80,12593,0,attack
2026-01-01T00:58:00Z,192.0.2.19,198.51.100.7,demo-user-11,demo-host-19,tcp,allowed,informational,synthetic,authentication_success,443,12153,0,benign
2026-01-01T00:59:00Z,192.0.2.20,198.51.100.14,demo-user-12,demo-host-20,tcp,allowed,low,synthetic,authentication_success,80,5068,0,benign
2026-01-01T01:00:00Z,192.0.2.21,198.51.100.21,demo-user-01,demo-host-21,tcp,denied,high,synthetic,authentication_failure,22,36194,12,attack
2026-01-01T01:01:00Z,192.0.2.22,198.51.100.28,demo-user-02,demo-host-22,udp,allowed,informational,synthetic,network_connection,53,6240,0,benign
2026-01-01T01:02:00Z,192.0.2.23,198.51.100.35,demo-user-03,demo-host-23,tcp,allowed,informational,synthetic,network_connection,443,31954,0,benign
2026-01-01T01:03:00Z,192.0.2.24,198.51.100.2,demo-user-04,demo-host-24,tcp,allowed,informational,synthetic,authentication_success,443,3970,0,benign
2026-01-01T01:04:00Z,192.0.2.25,198.51.100.9,demo-user-05,demo-host-25,udp,allowed,low,synthetic,network_connection,53,25714,0,benign
2026-01-01T01:05:00Z,192.0.2.26,198.51.100.16,demo-user-06,demo-host-26,tcp,allowed,low,synthetic,authentication_success,123,27850,0,benign
2026-01-01T01:06:00Z,192.0.2.27,198.51.100.23,demo-user-07,demo-host-27,tcp,allowed,informational,synthetic,authentication_success,80,19573,0,benign
2026-01-01T01:07:00Z,192.0.2.28,198.51.100.30,demo-user-08,demo-host-28,tcp,blocked,critical,synthetic,port_scan,80,3960,0,attack
2026-01-01T01:08:00Z,192.0.2.29,198.51.100.37,demo-user-09,demo-host-29,udp,allowed,low,synthetic,network_connection,53,3414,0,benign
2026-01-01T01:09:00Z,192.0.2.30,198.51.100.4,demo-user-10,demo-host-30,udp,allowed,informational,synthetic,authentication_success,53,33409,0,benign
2026-01-01T01:10:00Z,192.0.2.31,198.51.100.11,demo-user-11,demo-host-31,tcp,denied,high,synthetic,authentication_failure,22,12306,6,attack
2026-01-01T01:11:00Z,192.0.2.32,198.51.100.18,demo-user-12,demo-host-32,tcp,allowed,informational,synthetic,network_connection,80,26589,0,benign
2026-01-01T01:12:00Z,192.0.2.33,198.51.100.25,demo-user-01,demo-host-33,udp,allowed,informational,synthetic,network_connection,53,40719,0,benign
2026-01-01T01:13:00Z,192.0.2.34,198.51.100.32,demo-user-02,demo-host-34,tcp,allowed,low,synthetic,network_connection,123,17217,0,benign
2026-01-01T01:14:00Z,192.0.2.35,198.51.100.39,demo-user-03,demo-host-35,tcp,allowed,low,synthetic,network_connection,80,17535,0,benign
2026-01-01T01:15:00Z,192.0.2.36,198.51.100.6,demo-user-04,demo-host-36,tcp,allowed,informational,synthetic,authentication_success,123,30092,0,benign
2026-01-01T01:16:00Z,192.0.2.37,198.51.100.13,demo-user-05,demo-host-37,udp,allowed,informational,synthetic,authentication_success,53,30162,0,benign
2026-01-01T01:17:00Z,192.0.2.38,198.51.100.20,demo-user-06,demo-host-38,tcp,blocked,critical,synthetic,port_scan,22,4929,0,attack
2026-01-01T01:18:00Z,192.0.2.39,198.51.100.27,demo-user-07,demo-host-39,tcp,allowed,low,synthetic,network_connection,80,23000,0,benign
2026-01-01T01:19:00Z,192.0.2.40,198.51.100.34,demo-user-08,demo-host-40,tcp,allowed,informational,synthetic,network_connection,123,18804,0,benign
2026-01-01T01:20:00Z,192.0.2.1,198.51.100.1,demo-user-09,demo-host-01,tcp,denied,high,synthetic,authentication_failure,22,28844,7,attack
2026-01-01T01:21:00Z,192.0.2.2,198.51.100.8,demo-user-10,demo-host-02,tcp,allowed,informational,synthetic,authentication_success,123,43603,0,benign
2026-01-01T01:22:00Z,192.0.2.3,198.51.100.15,demo-user-11,demo-host-03,tcp,allowed,informational,synthetic,network_connection,123,7692,0,benign
2026-01-01T01:23:00Z,192.0.2.4,198.51.100.22,demo-user-12,demo-host-04,tcp,allowed,informational,synthetic,network_connection,123,18593,0,benign
2026-01-01T01:24:00Z,192.0.2.5,198.51.100.29,demo-user-01,demo-host-05,tcp,allowed,low,synthetic,network_connection,80,45183,0,benign
2026-01-01T01:25:00Z,192.0.2.6,198.51.100.36,demo-user-02,demo-host-06,tcp,allowed,low,synthetic,authentication_success,123,3457,0,benign
2026-01-01T01:26:00Z,192.0.2.7,198.51.100.3,demo-user-03,demo-host-07,tcp,allowed,low,synthetic,network_connection,123,3017,0,benign
2026-01-01T01:27:00Z,192.0.2.8,198.51.100.10,demo-user-04,demo-host-08,tcp,blocked,critical,synthetic,port_scan,22,21987,0,attack
2026-01-01T01:28:00Z,192.0.2.9,198.51.100.17,demo-user-05,demo-host-09,tcp,allowed,low,synthetic,network_connection,80,48705,0,benign
2026-01-01T01:29:00Z,192.0.2.10,198.51.100.24,demo-user-06,demo-host-10,udp,allowed,low,synthetic,authentication_success,53,7459,0,benign
2026-01-01T01:30:00Z,192.0.2.11,198.51.100.31,demo-user-07,demo-host-11,tcp,denied,high,synthetic,authentication_failure,22,45414,6,attack
2026-01-01T01:31:00Z,192.0.2.12,198.51.100.38,demo-user-08,demo-host-12,tcp,allowed,informational,synthetic,network_connection,123,38303,0,benign
2026-01-01T01:32:00Z,192.0.2.13,198.51.100.5,demo-user-09,demo-host-13,tcp,allowed,low,synthetic,network_connection,80,2869,0,benign
2026-01-01T01:33:00Z,192.0.2.14,198.51.100.12,demo-user-10,demo-host-14,udp,allowed,low,synthetic,authentication_success,53,23577,0,benign
2026-01-01T01:34:00Z,192.0.2.15,198.51.100.19,demo-user-11,demo-host-15,udp,allowed,informational,synthetic,network_connection,53,23306,0,benign
2026-01-01T01:35:00Z,192.0.2.16,198.51.100.26,demo-user-12,demo-host-16,tcp,allowed,informational,synthetic,authentication_success,80,10777,0,benign
2026-01-01T01:36:00Z,192.0.2.17,198.51.100.33,demo-user-01,demo-host-17,udp,allowed,low,synthetic,network_connection,53,11882,0,benign
2026-01-01T01:37:00Z,192.0.2.18,198.51.100.40,demo-user-02,demo-host-18,tcp,blocked,critical,synthetic,port_scan,443,27110,0,attack
2026-01-01T01:38:00Z,192.0.2.19,198.51.100.7,demo-user-03,demo-host-19,tcp,allowed,low,synthetic,network_connection,80,46086,0,benign
2026-01-01T01:39:00Z,192.0.2.20,198.51.100.14,demo-user-04,demo-host-20,udp,allowed,low,synthetic,network_connection,53,30975,0,benign
2026-01-01T01:40:00Z,192.0.2.21,198.51.100.21,demo-user-05,demo-host-21,tcp,denied,high,synthetic,authentication_failure,22,13207,8,attack
2026-01-01T01:41:00Z,192.0.2.22,198.51.100.28,demo-user-06,demo-host-22,tcp,allowed,low,synthetic,authentication_success,123,15043,0,benign
2026-01-01T01:42:00Z,192.0.2.23,198.51.100.35,demo-user-07,demo-host-23,tcp,allowed,informational,synthetic,network_connection,80,26241,0,benign
2026-01-01T01:43:00Z,192.0.2.24,198.51.100.2,demo-user-08,demo-host-24,udp,allowed,low,synthetic,authentication_success,53,18420,0,benign
2026-01-01T01:44:00Z,192.0.2.25,198.51.100.9,demo-user-09,demo-host-25,tcp,allowed,low,synthetic,authentication_success,123,1936,0,benign
2026-01-01T01:45:00Z,192.0.2.26,198.51.100.16,demo-user-10,demo-host-26,tcp,allowed,low,synthetic,network_connection,80,38177,0,benign
2026-01-01T01:46:00Z,192.0.2.27,198.51.100.23,demo-user-11,demo-host-27,udp,allowed,informational,synthetic,authentication_success,53,39224,0,benign
2026-01-01T01:47:00Z,192.0.2.28,198.51.100.30,demo-user-12,demo-host-28,tcp,blocked,critical,synthetic,port_scan,3389,22782,0,attack
2026-01-01T01:48:00Z,192.0.2.29,198.51.100.37,demo-user-01,demo-host-29,udp,allowed,low,synthetic,authentication_success,53,25372,0,benign
2026-01-01T01:49:00Z,192.0.2.30,198.51.100.4,demo-user-02,demo-host-30,udp,allowed,low,synthetic,network_connection,53,46578,0,benign
2026-01-01T01:50:00Z,192.0.2.31,198.51.100.11,demo-user-03,demo-host-31,tcp,denied,high,synthetic,authentication_failure,22,238,11,attack
2026-01-01T01:51:00Z,192.0.2.32,198.51.100.18,demo-user-04,demo-host-32,tcp,allowed,low,synthetic,network_connection,443,4713,0,benign
2026-01-01T01:52:00Z,192.0.2.33,198.51.100.25,demo-user-05,demo-host-33,udp,allowed,low,synthetic,authentication_success,53,47297,0,benign
2026-01-01T01:53:00Z,192.0.2.34,198.51.100.32,demo-user-06,demo-host-34,tcp,allowed,low,synthetic,authentication_success,443,21504,0,benign
2026-01-01T01:54:00Z,192.0.2.35,198.51.100.39,demo-user-07,demo-host-35,tcp,allowed,low,synthetic,authentication_success,80,12700,0,benign
2026-01-01T01:55:00Z,192.0.2.36,198.51.100.6,demo-user-08,demo-host-36,tcp,allowed,low,synthetic,authentication_success,80,40466,0,benign
2026-01-01T01:56:00Z,192.0.2.37,198.51.100.13,demo-user-09,demo-host-37,udp,allowed,low,synthetic,authentication_success,53,20042,0,benign
2026-01-01T01:57:00Z,192.0.2.38,198.51.100.20,demo-user-10,demo-host-38,tcp,blocked,critical,synthetic,port_scan,443,13902,0,attack
2026-01-01T01:58:00Z,192.0.2.39,198.51.100.27,demo-user-11,demo-host-39,tcp,allowed,low,synthetic,authentication_success,443,29080,0,benign
2026-01-01T01:59:00Z,192.0.2.40,198.51.100.34,demo-user-12,demo-host-40,tcp,allowed,informational,synthetic,authentication_success,443,48359,0,benign
